DATE,"VALUE, USD"
1 кв. 2000,32309000000
2 кв. 2000,37889000000
3 кв. 2000,51238000000
4 кв. 2000,48634000000
1 кв. 2001,39201000000
2 кв. 2001,46481000000
3 кв. 2001,58999000000
4 кв. 2001,59509000000
1 кв. 2002,44132000000
2 кв. 2002,50117000000
3 кв. 2002,65067000000
4 кв. 2002,66494000000
1 кв. 2003,52583000000
2 кв. 2003,60798000000
3 кв. 2003,75812000000
4 кв. 2003,78151000000
1 кв. 2004,66981000000
2 кв. 2004,78607000000
3 кв. 2004,99405000000
4 кв. 2004,100120000000
1 кв. 2005,84294000000
2 кв. 2005,97499000000
3 кв. 2005,119393000000
4 кв. 2005,123555000000
1 кв. 2006,106348000000
2 кв. 2006,126319000000
3 кв. 2006,152406000000
4 кв. 2006,159080000000
1 кв. 2007,139444000000
2 кв. 2007,166869000000
3 кв. 2007,199535000000
4 кв. 2007,214883000000
1 кв. 2008,191459000000
2 кв. 2008,236033000000
3 кв. 2008,276451000000
4 кв. 2008,244113000000
1 кв. 2009,189028000000
2 кв. 2009,214103000000
3 кв. 2009,250306000000
4 кв. 2009,259908000000
1 кв. 2010,217286000000
2 кв. 2010,256754000000
3 кв. 2010,301251000000
4 кв. 2010,307278000000
1 кв. 2011,257682000000
2 кв. 2011,311022000000
3 кв. 2011,369818000000
4 кв. 2011,363557000000
1 кв. 2012,292894000000
2 кв. 2012,347842000000
3 кв. 2012,389213000000
4 кв. 2012,381289000000
1 кв. 2013,302864000000
2 кв. 2013,353025000000
3 кв. 2013,394731000000
4 кв. 2013,404311000000
1 кв. 2014,316905000000
2 кв. 2014,382391000000
3 кв. 2014,440476000000
4 кв. 2014,447143000000
1 кв. 2015,375991000000
2 кв. 2015,456715000000
3 кв. 2015,566997000000
4 кв. 2015,588841000000
1 кв. 2016,455298000000
2 кв. 2016,535701000000
3 кв. 2016,671456000000
4 кв. 2016,722912000000
1 кв. 2017,591765000000
2 кв. 2017,664307000000
3 кв. 2017,833640000000
4 кв. 2017,891515000000
1 кв. 2018,706141000000
2 кв. 2018,809938000000
3 кв. 2018,994728000000
4 кв. 2018,1049495000000
1 кв. 2019,820006000000
2 кв. 2019,932459000000
3 кв. 2019,1111962000000
4 кв. 2019,1112771000000
1 кв. 2020,853685000000
2 кв. 2020,874618000000
3 кв. 2020,1162389000000
4 кв. 2020,1301172000000
1 кв. 2021,1008562000000
2 кв. 2021,1169438000000
3 кв. 2021,1498359000000
